0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Fwd IAT Total,Fwd IAT Mean,Bwd Packets/s,Max Packet Length,Average Packet Size,Active Max,Idle Mean,,,,,,,,,,
Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Fwd IAT Total,Fwd IAT Mean,Bwd Packets/s,Max Packet Length,Average Packet Size,Active Max,Idle Mean,,,,,,,,,
Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Fwd IAT Total,Fwd IAT Mean,Bwd Packets/s,Max Packet Length,Average Packet Size,Active Max,Idle Mean,Idle Std,,,,,,,,
Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Fwd IAT Total,Fwd IAT Mean,Bwd Packets/s,Min Packet Length,Max Packet Length,Average Packet Size,Active Max,Idle Mean,Idle Std,,,,,,,
Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Fwd IAT Total,Fwd IAT Mean,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Average Packet Size,Active Max,Idle Mean,Idle Std,,,,,,
Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Fwd IAT Total,Fwd IAT Mean,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,ECE Flag Count,Average Packet Size,Active Max,Idle Mean,Idle Std,,,,,
Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Packets/s,Flow IAT Mean,Fwd IAT Total,Fwd IAT Mean,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,ECE Flag Count,Average Packet Size,Active Max,Idle Mean,Idle Std,,,,
Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Packets/s,Flow IAT Mean,Fwd IAT Total,Fwd IAT Mean,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,ECE Flag Count,Average Packet Size,Active Std,Active Max,Idle Mean,Idle Std,,,
Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Packets/s,Flow IAT Mean,Fwd IAT Total,Fwd IAT Mean,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,ECE Flag Count,Average Packet Size,act_data_pkt_fwd,Active Std,Active Max,Idle Mean,Idle Std,,
Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Packets/s,Flow IAT Mean,Flow IAT Max,Fwd IAT Total,Fwd IAT Mean,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,ECE Flag Count,Average Packet Size,act_data_pkt_fwd,Active Std,Active Max,Idle Mean,Idle Std,
Flow Duration,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Packets/s,Flow IAT Mean,Flow IAT Max,Fwd IAT Total,Fwd IAT Mean,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,ECE Flag Count,Average Packet Size,act_data_pkt_fwd,Active Std,Active Max,Idle Mean,Idle Std
